ano;ente;cod_uf;sig_uf;cod_ibge;nom_ente
2024;Municipal;31;MG;313840;Leopoldina
2024;Municipal;31;MG;313850;Liberdade
2024;Municipal;31;MG;313860;Lima Duarte
2024;Municipal;31;MG;313862;Limeira do Oeste
2024;Municipal;31;MG;313865;Lontra
2024;Municipal;31;MG;313867;Luisburgo
2024;Municipal;31;MG;313868;Luislândia
2024;Municipal;31;MG;313870;Luminárias
2024;Municipal;31;MG;313880;Luz
2024;Municipal;31;MG;313890;Machacalis
2024;Municipal;31;MG;313900;Machado
2024;Municipal;31;MG;313910;Madre de Deus de Minas
2024;Municipal;31;MG;313920;Malacacheta
2024;Municipal;31;MG;313925;Mamonas
2024;Municipal;31;MG;313930;Manga
2024;Municipal;31;MG;313940;Manhuaçu
2024;Municipal;31;MG;313950;Manhumirim
2024;Municipal;31;MG;313960;Mantena
2024;Municipal;31;MG;313970;Maravilhas
2024;Municipal;31;MG;313980;Mar de Espanha
2024;Municipal;31;MG;313990;Maria da Fé
2024;Municipal;31;MG;314000;Mariana
2024;Municipal;31;MG;314010;Marilac
2024;Municipal;31;MG;314015;Mário Campos
2024;Municipal;31;MG;314020;Maripá de Minas
2024;Municipal;31;MG;314030;Marliéria
2024;Municipal;31;MG;314040;Marmelópolis
2024;Municipal;31;MG;314050;Martinho Campos
2024;Municipal;31;MG;314053;Martins Soares
2024;Municipal;31;MG;314055;Mata Verde
2024;Municipal;31;MG;314060;Materlândia
2024;Municipal;31;MG;314070;Mateus Leme
2024;Municipal;31;MG;314080;Matias Barbosa
2024;Municipal;31;MG;314085;Matias Cardoso
2024;Municipal;31;MG;314090;Matipó
2024;Municipal;31;MG;314100;Mato Verde
2024;Municipal;31;MG;314110;Matozinhos
2024;Municipal;31;MG;314120;Matutina
2024;Municipal;31;MG;314130;Medeiros
2024;Municipal;31;MG;314140;Medina
2024;Municipal;31;MG;314150;Mendes Pimentel
2024;Municipal;31;MG;314160;Mercês
2024;Municipal;31;MG;314170;Mesquita
2024;Municipal;31;MG;314180;Minas Novas
2024;Municipal;31;MG;314190;Minduri
2024;Municipal;31;MG;314200;Mirabela
2024;Municipal;31;MG;314210;Miradouro
2024;Municipal;31;MG;314220;Miraí
2024;Municipal;31;MG;314225;Miravânia
2024;Municipal;31;MG;314230;Moeda
2024;Municipal;31;MG;314240;Moema
2024;Municipal;31;MG;314250;Monjolos
2024;Municipal;31;MG;314260;Monsenhor Paulo
2024;Municipal;31;MG;314270;Montalvânia
2024;Municipal;31;MG;314280;Monte Alegre de Minas
2024;Municipal;31;MG;314290;Monte Azul
2024;Municipal;31;MG;314300;Monte Belo
2024;Municipal;31;MG;314310;Monte Carmelo
2024;Municipal;31;MG;314315;Monte Formoso
2024;Municipal;31;MG;314320;Monte Santo de Minas
2024;Municipal;31;MG;314330;Montes Claros
2024;Municipal;31;MG;314340;Monte Sião
2024;Municipal;31;MG;314345;Montezuma
2024;Municipal;31;MG;314350;Morada Nova de Minas
2024;Municipal;31;MG;314360;Morro da Garça
2024;Municipal;31;MG;314370;Morro do Pilar
2024;Municipal;31;MG;314380;Munhoz
2024;Municipal;31;MG;314390;Muriaé
2024;Municipal;31;MG;314400;Mutum
2024;Municipal;31;MG;314410;Muzambinho
2024;Municipal;31;MG;314420;Nacip Raydan
2024;Municipal;31;MG;314430;Nanuque
2024;Municipal;31;MG;314435;Naque
2024;Municipal;31;MG;314437;Natalândia
2024;Municipal;31;MG;314440;Natércia
2024;Municipal;31;MG;314450;Nazareno
2024;Municipal;31;MG;314460;Nepomuceno
2024;Municipal;31;MG;314465;Ninheira
2024;Municipal;31;MG;314467;Nova Belém
2024;Municipal;31;MG;314470;Nova Era
2024;Municipal;31;MG;314480;Nova Lima
2024;Municipal;31;MG;314490;Nova Módica
2024;Municipal;31;MG;314500;Nova Ponte
2024;Municipal;31;MG;314505;Nova Porteirinha
2024;Municipal;31;MG;314510;Nova Resende
2024;Municipal;31;MG;314520;Nova Serrana
2024;Municipal;31;MG;314530;Novo Cruzeiro
2024;Municipal;31;MG;314535;Novo Oriente de Minas
2024;Municipal;31;MG;314537;Novorizonte
2024;Municipal;31;MG;314540;Olaria
2024;Municipal;31;MG;314545;Olhos-dÁgua
2024;Municipal;31;MG;314550;Olímpio Noronha
2024;Municipal;31;MG;314560;Oliveira
2024;Municipal;31;MG;314570;Oliveira Fortes
2024;Municipal;31;MG;314580;Onça de Pitangui
2024;Municipal;31;MG;314585;Oratórios
2024;Municipal;31;MG;314587;Orizânia
2024;Municipal;31;MG;314590;Ouro Branco
2024;Municipal;31;MG;314600;Ouro Fino
2024;Municipal;31;MG;314610;Ouro Preto
2024;Municipal;31;MG;314620;Ouro Verde de Minas
2024;Municipal;31;MG;314625;Padre Carvalho
2024;Municipal;31;MG;314630;Padre Paraíso
2024;Municipal;31;MG;314640;Paineiras
2024;Municipal;31;MG;314650;Pains
2024;Municipal;31;MG;314655;Pai Pedro
2024;Municipal;31;MG;314660;Paiva
2024;Municipal;31;MG;314670;Palma
2024;Municipal;31;MG;314675;Palmópolis
2024;Municipal;31;MG;314690;Papagaios
2024;Municipal;31;MG;314700;Paracatu
2024;Municipal;31;MG;314710;Pará de Minas
2024;Municipal;31;MG;314720;Paraguaçu
2024;Municipal;31;MG;314730;Paraisópolis
2024;Municipal;31;MG;314740;Paraopeba
2024;Municipal;31;MG;314750;Passabém
2024;Municipal;31;MG;314760;Passa Quatro
2024;Municipal;31;MG;314770;Passa Tempo
2024;Municipal;31;MG;314780;Passa-Vinte
2024;Municipal;31;MG;314790;Passos
2024;Municipal;31;MG;314795;Patis
2024;Municipal;31;MG;314800;Patos de Minas
2024;Municipal;31;MG;314810;Patrocínio
2024;Municipal;31;MG;314820;Patrocínio do Muriaé
2024;Municipal;31;MG;314830;Paula Cândido
2024;Municipal;31;MG;314840;Paulistas
2024;Municipal;31;MG;314850;Pavão
2024;Municipal;31;MG;314860;Peçanha
2024;Municipal;31;MG;314870;Pedra Azul
2024;Municipal;31;MG;314875;Pedra Bonita
2024;Municipal;31;MG;314880;Pedra do Anta
2024;Municipal;31;MG;314890;Pedra do Indaiá
2024;Municipal;31;MG;314900;Pedra Dourada
2024;Municipal;31;MG;314910;Pedralva
2024;Municipal;31;MG;314915;Pedras de Maria da Cruz
2024;Municipal;31;MG;314920;Pedrinópolis
2024;Municipal;31;MG;314930;Pedro Leopoldo
2024;Municipal;31;MG;314940;Pedro Teixeira
2024;Municipal;31;MG;314950;Pequeri
2024;Municipal;31;MG;314960;Pequi
2024;Municipal;31;MG;314970;Perdigão
2024;Municipal;31;MG;314980;Perdizes
2024;Municipal;31;MG;314990;Perdões
2024;Municipal;31;MG;314995;Periquito
2024;Municipal;31;MG;315000;Pescador
2024;Municipal;31;MG;315010;Piau
2024;Municipal;31;MG;315015;Piedade de Caratinga
2024;Municipal;31;MG;315020;Piedade de Ponte Nova
2024;Municipal;31;MG;315030;Piedade do Rio Grande
2024;Municipal;31;MG;315040;Piedade dos Gerais
2024;Municipal;31;MG;315050;Pimenta
